"idelem";"tipo_elem";"cod_cent";"nombre";"st_x";"st_y"
5427;495;"43016";"Av.Ilustración E-O - Arzobispo Morcillo-Ginzo de Limia";440525.505275304;4481776.78682593
5457;495;"60010";"PºCastellana S-N - Raimundo Fernández Villaverde-San Juán de la Cruz";441476.016515001;4477673.71739233
5460;495;"60013";"PºCastellana S-N - Hermanos Pinzón-Pl.de Lima";441530.537358678;4478153.47867442
5463;495;"60016";"PºCastellana S-N - Juán Gris- Sor Angela de la Cruz";441595.248703468;4478944.34950701
3451;495;"60088";"(TACTICO)Méndez Casariego E-O(Entrada Pl.Quito) - (TACTICO)Méndez Casariego E-O(Entrada Pl.Quito)";441775.555988689;4478087.27921608
5605;495;"61099";"Colombia O-E - Chile-Puerto Rico";442847.596753734;4478912.81166447
7092;495;"61121";"Acceso M-30 N-E(Túnel) - M-30 Norte-Pl.José Mª Soler";443542.426618306;4479247.64710545
7094;495;"62085";"Sor Angela de la Cruz O-E(Giro Izqda) - Capitán Haya-Orense";441310.524691784;4479170.40537293
3425;495;"63002";"Bravo Murillo N-S - Navarra-Castilla";440497.789155865;4478539.31723895
5812;495;"41001";"Av. Ciudad de Barcelona - Seco-M-30";443184.221328681;4472479.06210216
4413;495;"19011";"Sagasta, 13 E-O - Francisco de Rojas-Gta. Bilbao";440717.635397732;4475775.33306226
4447;495;"21025";"Gral. Martínez Campos, 36 O-E - Zurbano-Miguel Angel";441329.900737986;4476487.36126031
5357;495;"88001";"C/. Peñaranda de Bracamonte -  La Adrada-Av. Ensanche de Vallecas";448404.371570667;4469146.09680391
4767;495;"24037";"GIRO CEBREROS E-N(PALMIPEDOS-CARLINA)";436471.213270272;4473092.94410057
4835;495;"26028";"VILLAFUERTE N-S(VILLAJOYOS-CRA.VILLAVER)";441563.147446726;4467577.69772043
5052;495;"49020";"GRAL. RICARDOS O-E(NTRA.SRA.LUZ-BLASON)";437160.935432375;4470751.38731427
5105;495;"51006";"OCA S-N (GRAL.RICARDOS-PL.ALMODOVAR)";437862.133467478;4471428.84934257
3481;495;"51024";"CASTROJERIZ N-S(AV.PZA TOROS-M.GRANDES)";437279.685268897;4471090.6883454
4025;495;"09009";"Alcala O-E - Almeria-Puente Ventas";443880.466185815;4475998.11437249
4077;495;"10033";"(TACTICO) Maiquez S-N - Ibiza-O´Donnell";443028.623002516;4474925.11987663
4215;495;"14019";"Pº Acacias O-E - Peñuelas-Gta. Embajadores";440313.208790271;4473089.72143093
5684;495;"62074";"Bravo Murillo S-N - Conde Vallellano-Marqués de Viana";440934.826800564;4479439.93832175
4103;495;"11032";"Embajadores N-S - Bronce-Planetario";441486.691056532;4471184.46145173
4373;495;"17042";"Princesa S-N - Seneca-Pº Moret";438948.925121229;4476614.80809767
4404;495;"19002";"Bravo Murillo, 11 N-S - Fernández de los Rios-Gta.Quevedo";440370.872740065;4476463.58518974
4412;495;"19010";"Francisco de Rojas, 5 N-S - Luchana-Sagasta";440762.783871825;4475838.73495949
10023;495;"20007";"(TACTICO) Melendez Valdés O-E - Galileo-Vallehermoso";439970.364234836;4476251.87555183
4427;495;"21002";"Gral. Martinez Campos E-O - Fdez.de la Hoz-Modesto Lafuente";441161.390626892;4476487.74975386
5474;495;"60028";"Alberto Alcocer E-O - PºCastellana-Doctor Fleming";441680.917881401;4479133.62120177
5658;495;"62042";"Sor Angela de la Cruz O-E - Infanta Mercedes-Orense";441125.483421666;4479219.6416966
7027;495;"40032";"Av. Pablo Neruda - Candilejas-Romeo y Julieta";443862.463981982;4470518.96062023
5836;495;"41026";"C/. Pio Felipe - Pio Felipe-Av. Albufera";444585.203835758;4471705.80309316
6159;495;"53029";"Av. Trece Rosas  - Av. Trece Rosas-Pl. Agustín González";445231.322211688;4475503.46175286
6929;495;"57021";"Playa de Riazor - Arroyomolino - Av. Logroño";450655.016098562;4480927.25569435
6487;495;"68005";"Ronda del Sur - Cooperativa Eléctrica-Av. Entrevías";444029.024473515;4469884.30166724
4768;495;"24038";"CEBREROS E-O(PALMIPEDOS-CARLINA)";436477.165270563;4473091.50525685
5058;495;"49027";"BLASA PEREZ N-S(TOBOSO-GRAL.RICARDOS)";438396.525874108;4471752.88242511
5059;495;"49028";"PEDRO DIEZ N-S(V.LLAGUNO-GRAL.RICARDOS)";438205.382021049;4471594.95844859
3686;495;"49030";"OCA N-S(MATILDE FERNANDEZ-GRAL.RICARDOS)";437929.040850385;4471384.77988722
4952;495;"38034";"AV. POBLADOS E-O(BELZUNEGUI-ALISEDA)";437291.537349279;4469710.14873066
5054;495;"49022";"G.RICARDOS O-E(PL.TOROS-CLARA CAMPOAMOR)";437645.691638804;4471041.44538558
5055;495;"49023";"C.CAMPOAMOR S-N(A. ABELLAN-G.RICARDOS)";437766.459646118;4471080.41337269
5056;495;"49025";"CASTRO ORO S-N(FERREIRA-GRAL.RICARDOS)";438163.401418517;4471449.10876688
5057;495;"49026";"C.VIEJO LEGANES S-N(RADIO-GRAL.RICARDOS)";438677.499419256;4471805.20115374
5078;495;"50015";"VIA E-O(MERCEDES DOMINGO-PORTALEGRE)";438829.300995916;4471145.61284402
3687;495;"50028";"(TACTICO) LUIS GOMEZ S-N";438171.229144564;4471172.75156744
5094;495;"50033";"(TACTICO) GUADALETE E-O";439335.246059979;4471403.38773249
3576;495;"51001";"OCA O-E (ALFARO-PL. ALMODOVAR)";437619.961465816;4471465.17962623
